Location,MachineName,HashRate(24h),EstRevenue(30d),EstProfit(30d),Price,NumMachines,Cost,URL
KY-LF,Bitmain S19k Pro 120T,122.51 TH/s,0.00307,0.00034,0.03257,1,0.00273,https://marketplace.blockwaresolutions.com/detail/1289
KY-LF,Bitmain S19j Pro 96T,88.32 TH/s,0.00194,-0.00085,0.01731,1,0.00279,https://marketplace.blockwaresolutions.com/detail/1276
KY-RH,Bitmain S19 XP 134T,119.1 TH/s,0.00343,0.00058,0.08662,1,0.00285,https://marketplace.blockwaresolutions.com/detail/1273
KY-LF,Whatsminer M50S 128T,118.98 TH/s,0.00331,7e-05,0.09989,1,0.00324,https://marketplace.blockwaresolutions.com/detail/1272
KY-RH,Bitmain S19 XP 134T,112.49 TH/s,0.002865,2e-05,0.10394,2,0.002845,https://marketplace.blockwaresolutions.com/detail/1243
KY-RH,Bitmain S21 195T,187.27 TH/s,0.00499,0.00153,0.11087,1,0.0034599999999999995,https://marketplace.blockwaresolutions.com/detail/1238
KY-RH,Bitmain S21 195T,181.7 TH/s,0.00499,0.00153,0.11173,1,0.0034599999999999995,https://marketplace.blockwaresolutions.com/detail/1237
KY-LF,Bitmain S19k Pro 120T,0.122 PH/s,0.0030689999999999997,0.000345,0.04,10,0.002724,https://marketplace.blockwaresolutions.com/detail/1233
KY-RH,Bitmain S21 195T,198.19 TH/s,0.00499,0.00153,0.1074,1,0.0034599999999999995,https://marketplace.blockwaresolutions.com/detail/1199
KY-LF,Bitmain S19j Pro 104T,91.05 TH/s,0.00205,-0.00098,0.01472,1,0.00303,https://marketplace.blockwaresolutions.com/detail/1197
KY-LF,Bitmain S19j Pro 104T,96.81 TH/s,0.00205,-0.00098,0.01472,1,0.00303,https://marketplace.blockwaresolutions.com/detail/1196
KY-LF,Whatsminer M30S++ 110T,104.62 TH/s,0.00282,-0.00061,0.01602,1,0.00343,https://marketplace.blockwaresolutions.com/detail/1194
KY-LF,Whatsminer M30S++ 110T,103.37 TH/s,0.00285,-0.00058,0.01602,1,0.00343,https://marketplace.blockwaresolutions.com/detail/1193
KY-LF,Whatsminer M30S++ 110T,104.41 TH/s,0.00284,-0.00059,0.01602,1,0.00343,https://marketplace.blockwaresolutions.com/detail/1192
KY-LF,Whatsminer M30S++ 110T,104.6 TH/s,0.00283,-0.0006,0.01602,1,0.00343,https://marketplace.blockwaresolutions.com/detail/1191
KY-LF,Whatsminer M50S 128T,117.29 TH/s,0.00331,7e-05,0.02217,1,0.00324,https://marketplace.blockwaresolutions.com/detail/1156
KY-LF,Whatsminer M50S 128T,118.21 TH/s,0.00328,5e-05,0.02217,1,0.00323,https://marketplace.blockwaresolutions.com/detail/1118
KY-LF,Whatsminer M50 120T,113.42 TH/s,0.00312,-0.00014,0.02079,1,0.00326,https://marketplace.blockwaresolutions.com/detail/1111
KY-LF,Bitmain S19 XP 141T,133.68 TH/s,0.00304,5e-05,0.064,1,0.00299,https://marketplace.blockwaresolutions.com/detail/1097
KY-LF,Whatsminer M50 118T,109.33 TH/s,0.00306,-0.0002,0.03032,1,0.00326,https://marketplace.blockwaresolutions.com/detail/1096
KY-LF,Bitmain S19j Pro+ 120T,111.6 TH/s,0.00238,-0.00093,0.03378,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1095
KY-LF,Bitmain S19j Pro+ 120T,111.63 TH/s,0.00238,-0.00093,0.03032,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1094
KY-LF,Bitmain S19j Pro+ 120T,111.29 TH/s,0.00238,-0.00093,0.03378,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1093
KY-LF,Bitmain S19j Pro+ 120T,103.8 TH/s,0.00238,-0.00093,0.03378,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1092
KY-LF,Bitmain S19j Pro+ 120T,112.35 TH/s,0.00238,-0.00093,0.03032,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1091
KY-LF,Bitmain S19j Pro+ 120T,113.35 TH/s,0.00238,-0.00093,0.03032,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1090
KY-LF,Bitmain S19j Pro+ 120T,111.79 TH/s,0.00238,-0.00093,0.03032,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1089
KY-LF,Bitmain S19j Pro+ 120T,111.78 TH/s,0.00238,-0.00093,0.02512,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1088
KY-LF,Bitmain S19j Pro+ 120T,112.77 TH/s,0.00248,-0.00083,0.02512,1,0.00331,https://marketplace.blockwaresolutions.com/detail/1087
KY-LF,Bitmain S19j Pro+ 120T,111.09 TH/s,0.00238,-0.00093,0.02512,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1086
KY-RH,Bitmain S19 XP 141T,129.14 TH/s,0.00327,0.00028,0.085,1,0.00299,https://marketplace.blockwaresolutions.com/detail/1080
KY-LF,Bitmain S19j Pro 104T,90.82 TH/s,0.00205,-0.00098,0.00866,1,0.00303,https://marketplace.blockwaresolutions.com/detail/1044
